site,lon,lat
SPO-LT00041_00005_100,23.98622,54.89513
SPO-LT00042_00005_100,24.28389,55.07222
SPO-LT00043_00005_100,23.95778,55.28
SPO-LV000L3_00005_100,21.0167,56.48668
SPO-LV00010_00005_101,21.17333,56.16235
SPO-LV000L4_00005_100,21.01441,56.49628
SPO-LV00RZ3_00005_100,27.33462,56.51351
SPO-LV00RZ4_00005_100,27.33775,56.51101
SPO-LV00VN3_00005_101,21.59032,57.404
SPO-LV0RKR9_00005_101,24.10476,56.95485
SPO-LVRVL10_00005_100,24.12117,56.96088
SPO_PL0151A_5_001,22.05438,53.18139
SPO_PL0071A_5_001,18.6661,53.02865
SPO_PL0039A_5_001,20.05349,50.06931
SPO_PL0012A_5_001,19.92619,50.05768
SPO_PL0047A_5_001,18.65733,54.40079
SPO_PL0125A_5_002,20.21269,50.03512
SPO_PL0136A_5_001,19.70979,52.55094
SPO_PL0150A_5_001,23.64215,53.21549
SPO_PL0171A_5_002,17.04672,54.46361
SPO_PL0187A_5_001,16.64805,50.73282
SPO_PL0205A_5_001,19.05931,52.65847
SPO_PL0209A_5_001,15.22867,52.73821
SPO_PL0222A_5_001,18.12074,50.42353
SPO_PL0234A_5_001,19.02732,49.81346
SPO_PL0238A_5_001,18.65574,50.27948
SPO_PL0239A_5_001,18.51614,50.11118
SPO_PL0240A_5_001,18.99024,50.0999
SPO_PL0245A_5_001,16.87729,52.42032
SPO_PL0248A_5_001,14.66335,53.38097
SPO_PL0249A_5_002,14.5539,53.43217
SPO_PL0276A_5_002,22.11247,50.52989
SPO_PL0295A_5_001,19.41094,54.16785
SPO_PL0298A_5_001,16.17254,54.19399
SPO_PL0308A_5_002,20.93302,52.28507
SPO_PL0317A_5_002,17.29133,50.94207
SPO_PL0468A_5_002,16.75957,53.15441
SPO_PL0501A_5_001,19.94919,50.01058
SPO_PL0503A_5_002,18.04906,51.74795
SPO_PL0504A_5_001,16.65366,50.43349
SPO_PL0526A_5_001,19.119,50.81722
SPO_PL0553A_5_001,18.41688,50.87698
SPO_PL0558A_5_001,17.97586,54.12069
SPO_PL0563A_5_001,20.53351,50.82311
SPO_PL0565A_5_001,21.27737,50.42901
