site,lon,lat
SPO-STA-IS0064A_06001_100,-21.99609,64.08799
SPO.IT0477A_6001_BETA_2022-01-01_00:00:00,9.19139,45.49556
SPO.IT0983A_6001_OPC-CMC_2020-01-01_00:00:00,7.32417,45.73583
SPO-LT00041_06001_100,23.98622,54.89513
SPO-LT00021_06001_100,22.87084,56.31944
SPO-LU0101A_06001_102,6.13759,49.59769
SPO-LV000L4_06001_100,21.01441,56.49628
SPO-LV00010_06001_101,21.17333,56.16235
SPO-LV00RZ4_06001_100,27.33775,56.51101
SPO-LV00VN3_06001_101,21.59032,57.404
SPO-LV0RKR9_06001_101,24.10476,56.95485
SPO-MT00007_06001_100,14.19707,36.06705
SPO_PL0039A_6001_001,20.05349,50.06931
SPO_PL0012A_6001_001,19.92619,50.05768
SPO_PL0008A_6001_001,18.97503,50.26461
SPO_PL0047A_6001_001,18.65733,54.40079
SPO_PL0048A_6001_001,18.49333,54.56084
SPO_PL0052A_6001_001,18.61977,54.38014
SPO_PL0064A_6001_001,17.99571,53.13408
SPO_PL0072A_6001_001,18.61281,53.01763
SPO_PL0091A_6001_002,23.29025,50.71663
SPO_PL0096A_6001_001,19.52979,51.75805
SPO_PL0129A_6001_001,20.95593,52.40758
SPO_PL0136A_6001_002,19.70979,52.55094
SPO_PL0140A_6001_001,21.00472,52.2193
SPO_PL0150A_6001_001,23.64215,53.21549
SPO_PL0175A_6001_001,20.48608,53.78923
SPO_PL0197A_6001_001,17.01269,51.08623
SPO_PL0205A_6001_001,19.05931,52.65847
SPO_PL0209A_6001_001,15.22867,52.73821
SPO_PL0213A_6001_001,15.51886,51.93978
SPO_PL0243A_6001_001,19.4588,50.71089
SPO_PL0245A_6001_002,16.87729,52.42032
SPO_PL0248A_6001_001,14.66335,53.38097
SPO_PL0249A_6001_001,14.5539,53.43217
SPO_PL0276A_6001_002,22.11247,50.52989
SPO_PL0295A_6001_002,19.41094,54.16785
SPO_PL0308A_6001_001,20.93302,52.28507
SPO_PL0503A_6001_001,18.04906,51.74795
SPO_PL0504A_6001_001,16.65366,50.43349
SPO_PL0558A_6001_001,17.97586,54.12069
SPO_PL0565A_6001_001,21.27737,50.42901
SPO_PL0566A_6001_002,21.08418,51.05061
SPO_PL0591A_6001_002,15.12781,51.64266
SPO_PL0647A_6001_001,20.99258,50.01825
SPO_PL0677A_6001_001,21.44094,50.29913
SPO_PL0681A_6001_001,22.34834,53.82839
SPO_PL0704A_6001_001,20.63369,50.879
SPO_PL0705A_6001_001,19.04861,49.80208
SPO_PL0706A_6001_001,22.93846,54.1159
SPO_PL0742A_6001_001,18.97559,49.93785
SPO_PL0764A_6001_001,19.13143,51.58921
SPO_PL0773A_6001_001,18.60795,49.95254
SPO_PL0788A_6001_001,17.46258,50.84951
SPO_PL0790A_6001_001,18.57884,54.43451
SPO_PL0800A_6001_001,16.99805,52.39088
SPO_PL0821A_6001_001,21.1246,52.08228
SPO_PL0825A_6001_001,21.98051,50.06038
SPO-PT01047_06001_100,-8.69389,41.80222
SPO-PT01048_06001_100,-7.79083,41.37139
SPO-PT01050_06001_100,-8.65889,41.1475
SPO-PT02004_06001_100,-8.56722,40.75861
SPO-PT02019_06001_100,-8.89167,39.92389
SPO-PT02020_06001_100,-7.30194,40.23306
SPO-PT03063_06001_100,-9.08111,38.61944
SPO-PT03071_06001_100,-9.10806,38.76889
SPO-PT03072_06001_100,-9.14889,38.74861
SPO-PT03083_06001_100,-9.15778,38.66361
SPO-PT03089_06001_100,-9.34722,38.785
SPO-PT03096_06001_100,-8.46611,39.3525
SPO-PT03099_06001_100,-8.69056,38.63556
SPO-PT03102_06001_100,-9.24556,39.27833
SPO-PT04001_06001_100,-8.83806,37.95417
SPO-PT04002_06001_100,-8.79861,38.07694
SPO-PT04003_06001_100,-8.72389,37.87111
SPO-PT04004_06001_100,-8.6975,38.02
SPO-PT04006_06001_100,-7.3975,38.615
SPO-PT05007_06001_100,-7.92667,37.015
SPO-PT06004_06001_100,-16.88306,32.64889
SPO-PT06005_06001_100,-16.91833,32.64972
SPO-PT06008_06001_100,-16.88639,32.80778
SPO-PT07001_06001_100,-28.63139,38.605
SPO-PT07002_06001_100,-25.66402,37.75029
SPO-RO0065A_06001_101,26.03669,44.44727
SPO-RO0074A_06001_101,23.59662,46.77503
SPO-RO0075A_06001_101,23.55026,46.76543
SPO-RO0077A_06001_101,23.87739,47.14501
SPO-RO0079A_06001_101,23.79671,44.31914
SPO-RO0083A_06001_101,27.57491,47.15684
SPO-RO0087A_06001_101,27.69309,47.13574
SPO-RO0223A_06001_101,25.44714,45.70226
SPO-RO0229A_06001_101,26.03093,44.49181
SPO-RO0231A_06001_101,25.9748,44.36974
SPO-RO0233A_06001_101,26.091,44.42548
SPO-RO0234A_06001_101,26.1303,44.45076
SPO-RO0235A_06001_101,26.06627,44.44618
